No.,Site,Subdomain,CNAME,Tracking Provider
1,nvidia.ru,smetrics.nvidia.com,nvidia.com.ssl.sc.omtrdc.net.,Adobe
2,equifax.ca,sawap.equifax.com,equifax.com.ssl.sc.omtrdc.net.,Adobe
3,newyorklife.com,st.newyorklife.com,newyorklife.com.ssl.d1.sc.omtrdc.net.,Adobe
4,idrivesafely.com,xid.idrivesafely.com,whitelabel-berry.xid.segment.com.,segment.com
5,trivago.ru,compare.trivago.com,trivago.partner.intentmedia.net.,Intent Media
6,bitdefender.es,sstats.bitdefender.com,bitdefender.com.ssl.sc.omtrdc.net.,Adobe
7,grainger.com.mx,smetrics.grainger.com,grainger.com.ssl.sc.omtrdc.net.,Adobe
8,stubhub.com.mx,was.stubhub.com,stubhub.com.ssl.d2.sc.omtrdc.net.,Adobe
9,trivago.com.mx,compare.trivago.com,trivago.partner.intentmedia.net.,Intent Media
10,washingtoninstitute.org,info.washingtoninstitute.org,a19961.actonsoftware.com.,Act-On
11,astm.org,marketing.astm.org,astm.actonsoftware.com.,Act-On
12,taxslayer.com,tsa.taxslayer.com,taxslayer.com.ssl.d1.sc.omtrdc.net.,Adobe
13,annabelle.ch,twch.annabelle.ch,mms.sp-prod.net.,sp-prod.net
14,bitiba.es,dii2.bitiba.es,bitiba.es.ssl.sc.omtrdc.net.,Adobe
15,elsevier.de,smetrics.elsevier.com,elsevier.com.ssl.d1.sc.omtrdc.net.,Adobe
16,expedia.ch,oms.expedia.com,expedia.com.ssl.d1.sc.omtrdc.net.,Adobe
17,fnac.ch,smetrics.fnac.com,fnac.com.102.112.2o7.net.,Adobe
18,logitravel.fr,ssl.affiliate.logitravel.com,tr-logitravel-com.affex.org.,affex.org
19,moneta.cz,smetrics.moneta.cz,moneta.cz.ssl.sc.omtrdc.net.,Adobe
20,modernize.com,tracking.eloqua.modernize.com,s97329354.hs.eloqua.com.,Oracle
21,motortrend.ca,smetrics.motortrend.com,motortrend.com.ssl.sc.omtrdc.net.,Adobe
22,aia.com.hk,smetrics.aia.com,aia.com.ssl.d1.sc.omtrdc.net.,Adobe
23,volkswagen.com.tw,smetric.volkswagen.com,volkswagen.com.ssl.sc.omtrdc.net.,Adobe
24,mode.com,xid.mode.com,whitelabel-apricot.xid.segment.com.,segment.com
25,bruker.com,mbns.bruker.com,bruker-nano.actonsoftware.com.,Act-On
26,bruker.com,mc.bruker.com,ci37.actonsoftware.com.,Act-On
27,lululemon.com.au,smetrics.lululemon.com.au,lululemon.com.au.ssl.sc.omtrdc.net.,Adobe
28,intervalworld.com,smetrics.intervalworld.com,intervalworld.com.102.122.2o7.net.,Adobe
29,ryanhomes.com,smetrics.ryanhomes.com,ryanhomes.com.102.112.2o7.net.,Adobe
30,tallahassee.com,srepdata.tallahassee.com,tallahassee.com.ssl.sc.omtrdc.net.,Adobe
31,seatadvisor.com,marketing.seatadvisor.com,hostssl.msgapp.com.,msgapp.com
32,zooplus.nl,dii2.zooplus.nl,zooplus.nl.ssl.sc.omtrdc.net.,Adobe
33,snb.com,act-on.snb.com,a19137.actonsoftware.com.,Act-On
34,hilton.com.tr,smetric.hilton.com,hilton.com.ssl.sc.omtrdc.net.,Adobe
35,manheim.com,smetrics.manheim.com,manheim.com.ssl.d1.sc.omtrdc.net.,Adobe
36,computeruniverse.net,tr.computeruniverse.net,tr.computeruniverse.wt-eu02.net.,wt-eu02.net
37,nintendo.com.ar,smetrics.nintendo.com,nintendo.com.102.112.2o7.net.,Adobe
38,fieldandstreamshop.com,smetrics.fieldandstreamshop.com,fieldandstreamshop.com.ssl.sc.omtrdc.net.,Adobe
39,skf.com,industry.promo.skf.com,a26642.actonsoftware.com.,Act-On
40,skf.com,promo.skf.com,a21703.actonsoftware.com.,Act-On
41,elal.co.il,smetrics.elal.com,elal.com.ssl.sc.omtrdc.net.,Adobe
42,citimortgage.com,metrics.citimortgage.com,citimortgage.com.102.122.2o7.net.,Adobe
43,smartvault.com,marketing.smartvault.com,ci23.actonsoftware.com.,Act-On
44,avalara.com,smetrics.avalara.com,avalara.com.ssl.sc.omtrdc.net.,Adobe
45,boscovs.com,smetrics.boscovs.com,boscovs.com.ssl.sc.omtrdc.net.,Adobe
46,cigar.com,smetrics.cigar.com,cigar.com.ssl.sc.omtrdc.net.,Adobe
47,coloradoan.com,srepdata.coloradoan.com,coloradoan.com.ssl.sc.omtrdc.net.,Adobe
48,crowdtap.com,info.crowdtap.com,a41204.actonsoftware.com.,Act-On
49,detelefoongids.nl,sstat.detelefoongids.nl,detelefoongids.nl.ssl.sc.omtrdc.net.,Adobe
50,dt.co.kr,adreal.dt.co.kr,white.contentsfeed.com.,contentsfeed.com
51,floridatoday.com,srepdata.floridatoday.com,floridatoday.com.ssl.d1.sc.omtrdc.net.,Adobe
52,liberty.edu,eloqua.liberty.edu,s333945334.hs.eloqua.com.,Oracle
53,milb.com,ans.milb.com,milb.com.102.112.2o7.net.,Adobe
54,redcrossblood.org,smetrics.redcrossblood.org,redcrossblood.org.ssl.sc.omtrdc.net.,Adobe
55,searchengines.guru,content.searchengines.guru,content.mql5.com.,mql5.com
