ranking,subdomain,site,tracking_provider
68625,marketing.konecranes.com,konecranes.com,Act-On
96694,marketing.triplelift.com,triplelift.com,Act-On
96971,outreach.crossref.org,crossref.org,Act-On
14377,mktgpage.appier.com,appier.com,Act-On
14624,communications.globalwidemedia.com,globalwidemedia.com,Act-On
57838,news.clipcanvas.com,clipcanvas.com,Act-On
76830,more.socialflow.com,socialflow.com,Act-On
7665,info.commondreams.org,commondreams.org,Act-On
43191,online.tru.ca,tru.ca,Act-On
43914,aon.smartbrief.com,smartbrief.com,Act-On
88860,marketing.nativo.com,nativo.com,Act-On
71664,emarketing.landisgyr.com,landisgyr.com,Act-On
65030,downloads.globalsign.com,globalsign.com,Act-On
25733,ao.redtri.com,redtri.com,Act-On
3172,globalcommunications.sc.com,sc.com,Act-On
37342,info.calmradio.com,calmradio.com,Act-On
37835,marketing.deepcrawl.com,deepcrawl.com,Act-On
64981,click.amazingfacts.org,amazingfacts.org,Act-On
19567,info.scriptel.com,scriptel.com,Act-On
17822,info.contentmarketinginstitute.com,contentmarketinginstitute.com,Act-On
80579,on.leagueapps.com,leagueapps.com,Act-On
35851,go.marfeel.com,marfeel.com,Act-On
30224,connect.digi.com,digi.com,Act-On
102672,marketing.clickatell.com,clickatell.com,Act-On
198063,bdoaustralia.bdo.com.au,bdo.com.au,Act-On
107368,industry.promo.skf.com,skf.com,Act-On
107368,promo.skf.com,skf.com,Act-On
107742,marketing.findyourinfluence.com,findyourinfluence.com,Act-On
162470,marketing.njoyn.com,njoyn.com,Act-On
149136,go.loveshaw.com,loveshaw.com,Act-On
124155,marketing.cisco-eagle.com,cisco-eagle.com,Act-On
124999,landing.altaro.com,altaro.com,Act-On
117614,admissions.setonhill.edu,setonhill.edu,Act-On
172766,business.specialchem.com,specialchem.com,Act-On
118890,info.kanetix.ca,kanetix.ca,Act-On
112539,seahorseinfo.agilent.com,agilent.com,Act-On
191861,marketing.visitgreaterpalmsprings.com,visitgreaterpalmsprings.com,Act-On
191869,marketing.visitparkcity.com,visitparkcity.com,Act-On
191874,marketing.visitsaltlake.com,visitsaltlake.com,Act-On
123297,marketing.digitalcurrent.com,digitalcurrent.com,Act-On
108066,marketing.smartvault.com,smartvault.com,Act-On
108348,info.crowdtap.com,crowdtap.com,Act-On
144418,a.evergage.com,evergage.com,Act-On
101642,info.washingtoninstitute.org,washingtoninstitute.org,Act-On
